Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
South,Peaty,Cotton,492.56338646920534,17.209150312263063,False,True,Cloudy,86,5.627777991282995
West,Silt,Cotton,841.5627150827225,17.57187666838594,True,True,Sunny,98,6.748042937340077
South,Clay,Barley,808.9816112885374,36.1305434344366,True,False,Cloudy,66,6.314786277670487
North,Peaty,Barley,138.93849980414697,31.611164168102775,True,False,Cloudy,139,2.368321659427831
West,Peaty,Rice,805.7012029613688,29.20012383388304,True,False,Sunny,145,6.344585380975803
East,Peaty,Rice,634.1900145516411,38.45166407018408,False,False,Sunny,127,4.166930901616587
North,Silt,Wheat,167.40435613392367,28.108389185504336,False,True,Rainy,148,2.968063048284602
North,Chalky,Cotton,396.9834216145337,35.0006104039706,False,True,Sunny,132,4.237604655918217
West,Silt,Wheat,680.1422118634024,34.484256729865244,True,False,Rainy,109,5.984756043683213
East,Peaty,Barley,844.7742638964439,30.49371559645315,False,True,Rainy,142,5.681246361925467
West,Clay,Rice,801.94063978629,28.762221596760426,False,True,Sunny,124,5.349548891182629
East,Loam,Maize,695.2084130325485,23.7362852700333,True,False,Cloudy,139,5.901756682022855
North,Sandy,Cotton,802.635297439371,35.41284589650189,True,False,Sunny,82,6.654949453589528
South,Peaty,Rice,378.55203955892165,38.1419475772653,True,False,Cloudy,64,4.663436153871903
North,Clay,Maize,318.0130097637518,37.382964910798805,False,True,Rainy,121,4.127029291080366
South,Loam,Cotton,652.3472832888563,39.155696299392915,False,True,Rainy,76,5.493174197256744
South,Clay,Barley,765.6877926953334,26.565087173213215,False,False,Sunny,98,4.762386743016942
East,Loam,Cotton,617.9323190365014,15.908074480173482,False,False,Sunny,96,3.9684810435131146
West,Sandy,Maize,224.06871158323946,38.18668320627591,False,True,Rainy,132,2.4907765498564074
East,Silt,Rice,896.1353251213486,30.202110881696278,False,True,Sunny,131,6.345791481787574
North,Sandy,Wheat,435.2542292911728,25.496306246026577,False,True,Sunny,74,3.190074146074221
West,Sandy,Soybean,408.2193119705922,21.85221468577612,False,True,Cloudy,133,4.881093691938867
South,Chalky,Wheat,960.7875535025905,15.487044978109699,False,True,Rainy,132,6.4119307400345535
South,Loam,Rice,965.5279313096391,19.58387748294684,False,True,Rainy,92,5.818199696637551
North,Clay,Maize,348.13101754208856,37.17467500872016,True,True,Cloudy,148,5.020292174632507
West,Loam,Wheat,624.7140208553816,29.02005232011186,True,True,Cloudy,145,6.800510487395679
North,Sandy,Maize,191.11808349182186,19.549061846972634,True,False,Cloudy,75,2.132985549733208
North,Peaty,Cotton,262.95024733784055,36.937584088185275,False,True,Sunny,142,3.052371341214685
East,Peaty,Wheat,724.2630195642445,27.947083062209614,False,True,Cloudy,126,5.762063329946928
North,Chalky,Soybean,997.4083972607065,16.18883857438395,True,False,Sunny,139,7.5411106054263195
West,Chalky,Maize,932.5674367205779,38.301789131366895,True,False,Rainy,61,5.977477297025197
North,Clay,Rice,504.3644611205059,28.8931798741385,False,True,Cloudy,118,5.074729825286107
West,Silt,Rice,124.46979663882954,20.630524748852963,False,False,Sunny,72,0.8055127485454606
South,Clay,Maize,977.6217480054759,23.76682166723735,True,True,Sunny,66,7.811581439707798
North,Peaty,Rice,588.3827165243894,26.17204270923437,False,True,Sunny,70,5.2361270917402605
West,Sandy,Soybean,758.677187217879,34.31660367284985,False,False,Rainy,138,4.196022780456284
South,Clay,Soybean,601.4213462630286,30.234395578203966,True,True,Sunny,80,6.383980843258807
West,Chalky,Maize,257.0681167082623,18.541409937935235,True,False,Rainy,103,3.3194740667628113
South,Chalky,Wheat,153.68873577260524,25.961829235218627,True,True,Rainy,60,3.306620713642445
East,Clay,Cotton,620.6111220711065,29.61727420486674,True,True,Cloudy,108,6.480058976271948
North,Peaty,Soybean,928.1585500654388,35.36808678386224,False,True,Rainy,137,6.563130380688129
North,Loam,Wheat,405.7389043297623,17.46057976749297,True,False,Rainy,145,4.263799479415195
South,Peaty,Wheat,252.82362402974584,17.146998004246033,False,False,Sunny,76,0.616611522559738
East,Peaty,Cotton,325.22183462237115,24.87562645902375,True,True,Cloudy,111,5.420033155713635
West,Silt,Rice,623.7363082349943,23.31057588120597,False,True,Sunny,83,4.981891151702988
East,Sandy,Soybean,462.3743179998802,25.774526263675952,False,True,Rainy,147,4.604917892753788
West,Silt,Maize,903.7819487739727,20.596565059497003,False,False,Cloudy,128,5.8466817981585955
West,Clay,Barley,175.03865156139113,23.827452933829964,True,True,Sunny,89,3.134432137244385
North,Sandy,Soybean,469.6878461304336,24.262887199563288,False,True,Cloudy,146,5.0959325652754615
South,Peaty,Barley,300.31415721052156,17.577818192303237,False,True,Sunny,125,1.755992514630218
North,Loam,Barley,254.96768362509766,27.06616028052614,True,True,Sunny,62,5.598945216845242
North,Sandy,Rice,352.9073701559271,19.17940395988347,True,False,Sunny,145,3.6196248222872853
North,Silt,Wheat,154.85236870216494,36.826930358067266,False,True,Rainy,90,3.1455141103205566
West,Chalky,Barley,806.5720294863848,20.81661267684995,False,True,Cloudy,96,5.65341200843604
North,Clay,Wheat,153.01680340857266,26.796966973791022,False,False,Rainy,69,1.2245024308383687
West,Clay,Barley,309.26730496813536,27.083934921161003,True,True,Cloudy,88,5.578499499693215
South,Sandy,Soybean,115.96976186633941,15.11048628792343,True,False,Cloudy,102,2.3327625462012835
West,Loam,Wheat,569.9408717284921,27.556678336356924,False,True,Sunny,124,4.240602465331724
West,Sandy,Maize,874.9747777488744,33.224869255647235,True,True,Sunny,132,7.657631965351055
East,Loam,Wheat,768.7936109411228,30.91000164179674,False,False,Cloudy,89,4.562419624250096
North,Loam,Wheat,564.0187603005688,39.56973317331324,False,False,Cloudy,149,4.026689434807731
North,Sandy,Maize,432.40275278919336,26.293218128333628,True,False,Cloudy,78,3.631689270841691
North,Sandy,Maize,607.008355113564,35.30531204105751,False,False,Rainy,73,3.6265013418611525
North,Peaty,Rice,876.1770056366005,20.89020222833416,True,False,Sunny,148,5.934911999091516
East,Peaty,Soybean,759.4729270940583,25.208650688301052,False,True,Sunny,61,4.836727028690368
East,Silt,Maize,207.92567070461195,34.01824557355419,False,True,Cloudy,145,3.0017589945357703
East,Loam,Rice,153.92772057286913,27.111641002476887,True,True,Sunny,149,3.5132203547282383
East,Chalky,Wheat,293.3722634889486,16.81147058709652,True,False,Sunny,123,3.4825365960718315
North,Peaty,Maize,532.7259782273959,39.4923619969621,False,False,Rainy,96,3.517322553103296
West,Chalky,Maize,457.9632768343624,26.39824880723853,True,True,Sunny,109,5.168214961526443
South,Clay,Cotton,544.4364898321321,31.7975122910974,False,False,Rainy,70,2.9941909465975343
East,Chalky,Barley,604.5851305837389,36.9161762820011,True,False,Sunny,131,5.54609657971174
West,Clay,Wheat,133.18934108750224,27.798400981088488,True,False,Rainy,147,2.465217641351687
East,Peaty,Soybean,600.2835699652597,39.67114581119321,False,True,Sunny,125,4.6314293773757536
North,Clay,Soybean,408.67919180495426,31.6125733537624,False,False,Rainy,95,3.050042091014011
North,Loam,Wheat,769.7255412454226,24.89414113805054,True,False,Cloudy,111,6.11748769954515
West,Silt,Rice,992.562155261235,36.14068671568178,False,True,Sunny,83,7.414459290958982
West,Sandy,Cotton,937.322043738553,26.211355128514597,True,True,Cloudy,67,7.6623720898050935
West,Chalky,Wheat,438.38099483140263,28.878873050812967,True,True,Sunny,114,5.303775382196228
North,Clay,Barley,613.5724767496267,17.799164621808846,False,False,Cloudy,90,3.684148244905824
North,Peaty,Barley,783.1492074621247,25.00899116264528,False,False,Cloudy,68,4.806494805842171
South,Loam,Rice,965.0346663989204,29.708963319375414,True,False,Cloudy,74,5.727636881659167
West,Silt,Rice,650.2113040236367,21.363751842497766,True,False,Sunny,82,4.746040737149604
South,Chalky,Barley,266.0016256702375,15.384298937298558,False,False,Cloudy,106,2.374553079794996
East,Peaty,Maize,825.819175603022,33.66496049755402,False,True,Cloudy,116,6.732700266401128
South,Sandy,Maize,858.499840074241,23.359442868905578,False,False,Sunny,136,3.953928978100549
East,Loam,Soybean,269.2364778429136,26.238798762738547,True,False,Rainy,95,3.6087628067211246
East,Chalky,Maize,861.7907436699902,19.944298225052897,True,True,Cloudy,134,7.696239337215915
South,Silt,Maize,590.0059679732683,18.316983091854596,True,True,Sunny,74,5.471494658092411
West,Silt,Barley,947.867477980713,21.473183991661816,True,True,Cloudy,65,8.50370824494497
East,Silt,Soybean,633.4764318723326,32.35147777421278,True,True,Sunny,109,7.414892517219643
West,Silt,Maize,946.6788965907892,35.044691117409336,False,True,Sunny,74,7.306644783969803
North,Clay,Wheat,849.203191849297,15.307130937996686,False,False,Rainy,96,4.5934090460346875
East,Clay,Soybean,731.1846783160428,31.728123933303795,True,False,Cloudy,94,6.209837982907878
North,Chalky,Soybean,805.3101629402616,38.18831315875635,True,True,Cloudy,123,6.708867730014971
South,Chalky,Wheat,712.2092165297581,25.619381310026654,False,False,Cloudy,134,3.371810839881876
West,Silt,Barley,811.6552749335293,19.781235227536285,True,False,Cloudy,114,5.326367101337655
South,Sandy,Barley,838.8717355218207,21.335659566238427,True,False,Rainy,109,5.617218386008211
East,Peaty,Rice,158.63462988945992,36.610732141006906,True,True,Cloudy,99,4.935669712741307
North,Clay,Barley,135.01775942311778,24.28726988642773,False,False,Sunny,109,1.8759275154982953
East,Sandy,Maize,321.3157765522731,33.788883990324194,False,False,Sunny,126,2.18020045342597
South,Chalky,Cotton,839.9070347516832,29.181282392149253,False,False,Cloudy,66,4.565680055503216
West,Peaty,Maize,563.8130192204469,33.53199115575175,True,False,Sunny,65,4.08263751731891
West,Loam,Soybean,444.4091391974417,26.672587305993346,True,True,Sunny,131,5.933361634611214
East,Silt,Barley,391.6132743204191,19.05013945919007,True,True,Rainy,88,5.745190905212354
East,Silt,Cotton,453.56617573140375,33.67200645474874,True,True,Cloudy,125,5.879831820738346
North,Chalky,Wheat,994.1766654262018,39.90684890934942,False,False,Sunny,96,6.261172496427058
South,Loam,Cotton,142.1800403583474,15.683907509076326,False,False,Cloudy,136,0.9621414395651253
East,Loam,Cotton,327.9157865258022,23.472469998641543,False,False,Sunny,138,2.529802608255198
North,Clay,Wheat,529.248966600165,23.776282380808894,False,True,Rainy,146,3.8281463095775443
East,Peaty,Barley,291.2199487707684,38.117964790239014,True,True,Cloudy,76,5.450322149782141
West,Silt,Soybean,851.2003411214756,29.53903432438593,False,False,Sunny,103,4.802372767108353
North,Chalky,Barley,502.7918059400757,29.529054515551316,True,True,Cloudy,146,5.376372194096083
North,Silt,Barley,351.5959990489649,29.35629879062231,True,False,Cloudy,71,4.205169079363167
East,Sandy,Rice,863.7539839460079,22.081086898033522,True,True,Cloudy,63,8.153903513530283
South,Clay,Rice,165.96245086282886,18.932903051084622,True,True,Sunny,66,3.8647333932265076
West,Peaty,Cotton,757.5746563241985,31.832866121995373,False,True,Rainy,75,5.8624902425538705
South,Loam,Cotton,275.02738105583364,38.867157700246615,True,False,Rainy,103,3.486220783396076
North,Chalky,Cotton,194.2144100973701,36.775438917390474,False,True,Cloudy,147,2.7790766453444284
South,Chalky,Wheat,540.5550043933763,22.87657200667575,True,False,Cloudy,146,4.503199972399073
North,Peaty,Cotton,774.2851873438607,17.421700407495354,False,False,Sunny,136,4.1726438924830465
South,Loam,Wheat,481.48001937761677,19.74381695141215,True,False,Rainy,103,4.00321803720623
East,Loam,Wheat,885.4575688971199,34.17791721704605,True,False,Cloudy,131,7.234193608082867
South,Loam,Barley,419.08957844331644,25.376664170873266,True,False,Rainy,87,4.359173152467488
North,Peaty,Soybean,745.1541719917323,28.868123724998917,True,True,Sunny,110,7.475424660574625
West,Chalky,Maize,613.9858958625132,33.18955469815993,False,True,Sunny,107,5.316916368130786
West,Loam,Soybean,425.5755659256167,16.66543160129027,False,True,Sunny,69,3.5919132783667287
West,Sandy,Soybean,867.6209554387852,15.949682563161094,True,False,Cloudy,119,5.612783641100248
North,Clay,Barley,699.2670890862055,29.687630741259007,False,True,Cloudy,107,4.971329826372705
South,Silt,Barley,906.3365437457768,33.20784126030695,True,False,Cloudy,108,6.845069977651553
West,Peaty,Wheat,352.1426627187026,36.306351861877886,True,False,Sunny,61,4.047509749171652
West,Sandy,Cotton,230.32485951923056,38.42474953048567,True,True,Rainy,76,4.23317191359471
West,Chalky,Cotton,860.82808698329,29.345519233470846,False,False,Rainy,138,5.273926629818289
East,Peaty,Soybean,367.6189356203795,19.447907742469383,True,True,Rainy,84,5.1237907934246065
North,Chalky,Soybean,696.3488050739106,19.20383781884265,False,True,Sunny,146,4.703738326019638
North,Chalky,Wheat,575.2878552416973,23.23553935897195,True,False,Cloudy,67,5.058686788669524
North,Chalky,Maize,897.1034541643243,27.772018048669224,False,False,Sunny,84,5.094292734277768
North,Clay,Soybean,272.0505746064583,35.03691355050677,True,True,Rainy,118,4.641245126468933
North,Loam,Maize,422.5942269545716,27.796417951732106,True,False,Rainy,83,4.107177643696395
East,Peaty,Barley,770.157621779309,27.714330687598412,False,True,Rainy,99,5.250441162985812
South,Silt,Barley,843.5080748699821,34.081509145659645,False,False,Sunny,138,4.453443420067245
East,Peaty,Maize,445.0093806819316,39.676940376667574,False,False,Cloudy,105,2.7787461908261446
West,Peaty,Rice,396.61240763345853,25.55290754596428,False,False,Cloudy,127,2.248345811891901
East,Peaty,Wheat,419.65246624579135,19.112186738441313,True,True,Sunny,69,5.387089195871336
North,Peaty,Wheat,280.8603733963126,25.77595228116094,False,False,Sunny,65,2.0580945722412043
East,Silt,Barley,201.76603956926618,34.9104521831347,False,True,Cloudy,99,3.0783616285893456
North,Loam,Rice,693.8977748275275,28.13080174274797,True,True,Cloudy,146,6.863986846025122
East,Sandy,Barley,487.479625134709,29.458330373390254,True,False,Sunny,144,3.0341547640805295
North,Chalky,Cotton,908.607419837432,34.094697006755624,False,False,Sunny,78,4.636439152289098
West,Clay,Wheat,107.55870219265138,27.429970341193737,False,False,Sunny,138,1.1510530575473923
North,Loam,Barley,200.64540171152913,24.99752958176161,True,False,Sunny,116,3.054292762064529
East,Silt,Maize,610.262474486893,37.31458936147869,True,True,Sunny,95,6.73727809513772
West,Loam,Barley,419.32194682807454,20.467182844961282,True,False,Sunny,97,3.603087145868196
East,Silt,Maize,900.311097727721,33.8753225676624,True,True,Sunny,86,8.114759984319
West,Clay,Soybean,900.7338409463998,32.53272623976288,False,True,Rainy,111,6.425243097076081
South,Silt,Maize,467.54496187911474,19.329411839110477,False,True,Sunny,113,3.3904243509218652
South,Loam,Soybean,876.7465423639353,16.67659970471347,True,False,Rainy,147,6.042947463250393
South,Sandy,Maize,716.3336741467552,21.968983750664737,True,True,Cloudy,100,6.785676344177504
East,Loam,Cotton,472.20797114724166,35.49372701564785,True,False,Cloudy,86,3.462109463253813
East,Clay,Barley,459.36990166801934,18.612761167679356,False,False,Cloudy,143,2.5492481358463364
West,Chalky,Maize,417.7844832575554,36.96239250322841,True,False,Rainy,137,4.506707799222457
West,Silt,Cotton,328.6553855918476,37.708164827521585,True,False,Cloudy,71,2.9955765256653155
West,Silt,Rice,613.3057933506406,28.605577750723757,True,False,Sunny,105,4.674308895478312
West,Peaty,Cotton,600.5133541292066,34.06403926990752,True,True,Cloudy,61,5.8337240430175585
North,Loam,Maize,734.9436400821693,17.78008483900026,True,False,Sunny,132,4.823147341711649
South,Peaty,Rice,469.2216028373713,17.828777485693973,True,True,Cloudy,99,4.453816572419525
North,Peaty,Maize,866.1939010074897,37.3251289790058,True,False,Cloudy,111,5.782292119194109
North,Loam,Cotton,655.1526983399793,28.955493927764813,False,False,Cloudy,114,4.065556122860476
North,Chalky,Soybean,835.0323108230106,32.78484151543108,False,False,Rainy,117,5.0008294985342765
North,Loam,Rice,524.9867222002083,22.259500409624543,True,True,Sunny,107,5.160104636030162
South,Peaty,Rice,168.48329965242547,17.98558074916758,True,False,Rainy,60,2.559596230102643
North,Chalky,Cotton,955.2364829553062,28.20614748908111,True,False,Sunny,80,6.363851004731018
West,Silt,Wheat,754.7912939678873,29.46051237397232,False,False,Rainy,98,3.932438351274525
East,Sandy,Rice,331.93669664221557,28.890857671269423,False,True,Cloudy,71,3.8273787163307866
West,Loam,Wheat,957.3445031914999,19.52483090679436,True,True,Rainy,63,7.980998252041428
East,Loam,Cotton,583.1918987432423,25.10666315959981,False,True,Rainy,113,4.4990575649868525
West,Sandy,Wheat,258.94588015412216,31.200860522629473,False,False,Sunny,67,1.7583348752824695
West,Loam,Soybean,441.4867638870748,18.152518806177135,True,False,Rainy,76,3.7542764377324396
East,Silt,Barley,635.6325489505831,28.41228085385145,False,False,Cloudy,90,4.642737931644905
South,Sandy,Barley,686.2816629510626,31.938463417750334,False,True,Cloudy,83,4.7346596833487045
North,Peaty,Maize,365.14924537064195,32.253781815909605,True,True,Cloudy,127,4.138587417183586
West,Sandy,Rice,638.5281344549272,38.928716412217625,False,True,Cloudy,87,4.605927267636774
South,Peaty,Soybean,166.90167875364614,23.065724056899008,False,False,Sunny,77,1.323224297432595
North,Silt,Maize,482.8455054880963,22.001793523183665,False,False,Sunny,93,2.768247045666352
South,Clay,Wheat,531.2565045225524,32.618036567528506,False,False,Cloudy,134,2.847506313893913
South,Peaty,Cotton,398.80052119154936,37.33910578249712,False,False,Rainy,131,2.3835564588398848
North,Sandy,Rice,550.0733488691128,15.543398614722362,True,False,Rainy,95,4.26864678878651
West,Loam,Rice,714.3206178798528,19.330080642213062,False,True,Sunny,87,6.310833680672841
South,Loam,Rice,228.62014897981678,36.030574515746665,True,True,Sunny,124,4.250598832808917
West,Peaty,Soybean,811.1578039635526,19.94653468524431,True,True,Cloudy,116,7.138815424515787
West,Peaty,Maize,546.4365753422634,37.536678777351895,True,True,Rainy,74,6.716028784118654
West,Sandy,Maize,629.965483921114,17.912675687270223,True,False,Sunny,140,5.343244276721668
North,Silt,Soybean,415.96237526198667,23.796218851378214,False,True,Sunny,89,4.084015431214836
East,Clay,Soybean,827.9776180165554,23.758799592645254,True,False,Rainy,105,6.233795656287521
West,Loam,Barley,104.208486123796,15.066434440519908,True,True,Cloudy,77,3.6958618266102192
East,Chalky,Soybean,106.9572450670046,28.581413251293778,False,True,Cloudy,79,1.7568555353575808
East,Loam,Cotton,928.7468116741978,17.540813437350224,False,True,Sunny,140,6.558437414810463
South,Silt,Soybean,710.3668630922066,20.287064514658248,False,True,Sunny,149,5.784365387588684
West,Loam,Wheat,857.8176182367235,34.83133560701836,False,True,Sunny,132,6.505786412603402
West,Sandy,Rice,869.6880074566755,37.803208128484954,True,False,Cloudy,65,6.755905914397429
West,Clay,Wheat,137.24977526449493,39.114892930854495,True,True,Rainy,68,4.782388619133844
East,Chalky,Cotton,909.4623264561569,31.409367908719613,True,True,Cloudy,108,7.78197705544845
North,Clay,Rice,108.24085954272672,39.98870350427095,False,False,Rainy,141,1.9787821437430473
East,Chalky,Rice,489.67767561298535,28.494863696325776,False,False,Cloudy,95,2.905430441842099
West,Chalky,Maize,348.3353963236686,37.747677354149204,False,True,Rainy,107,4.078291721443746
West,Silt,Maize,357.48494349707875,18.723239160462764,True,False,Cloudy,138,4.3320452245701215
West,Silt,Rice,628.8669794448854,34.66890884811151,True,True,Sunny,75,6.506470857274588
East,Loam,Wheat,382.6307212661653,27.86168412974995,True,False,Cloudy,90,4.296049273359365
West,Silt,Wheat,236.98538926179944,30.057479610382906,True,True,Cloudy,145,4.803667492853199
South,Loam,Rice,908.6247199767845,29.720935528561274,False,True,Cloudy,86,6.012473447911335
West,Chalky,Maize,783.0419236929163,36.90043456374461,False,True,Rainy,92,6.811405200407454
North,Chalky,Soybean,336.09243723225933,24.187650211089004,False,False,Cloudy,117,2.3455671894578063
South,Clay,Barley,598.3412009905626,30.58842992454228,True,True,Cloudy,117,6.432433542528052
West,Silt,Cotton,706.8403557024546,28.813420046003458,False,True,Sunny,74,6.342770793152876
South,Silt,Barley,979.4557988916096,16.638533782894832,False,False,Cloudy,149,4.990472748767413
West,Silt,Maize,356.91078044987313,37.70027735037666,False,True,Sunny,93,4.374589647932705
North,Silt,Soybean,893.2481292404913,15.323947263037319,False,False,Rainy,101,4.185116691514056
West,Silt,Wheat,637.9550415164136,36.533234327046564,True,True,Cloudy,139,6.9795390776469795
South,Sandy,Cotton,250.55746244447295,29.90508094234891,True,True,Sunny,135,3.8003369433081593
North,Loam,Rice,513.431249368829,27.564356485755162,True,False,Rainy,98,4.764588981992687
East,Loam,Soybean,287.503028852927,16.312973862005535,False,True,Rainy,65,2.850462287656792
North,Chalky,Wheat,114.56513143996261,20.79183444619913,True,True,Rainy,68,4.110830737584177
North,Clay,Cotton,723.5175938283618,15.157766576182905,True,False,Rainy,149,6.0740673518660575
North,Peaty,Rice,946.3750168201086,21.31203329769967,True,False,Cloudy,131,5.543451810715958
South,Sandy,Rice,196.6101639086234,36.49820155111968,False,False,Cloudy,77,1.2430072964889902
North,Peaty,Maize,304.9163722862066,38.505312422388,True,False,Cloudy,126,3.97990122620698
West,Loam,Rice,649.3404973447468,38.693875246608435,False,True,Cloudy,73,5.7269896259507975
North,Chalky,Maize,646.9853458470058,31.2213034910942,False,False,Cloudy,61,3.6749291009237104
North,Clay,Wheat,358.6172215503248,18.79298916388456,True,False,Rainy,76,3.498599967980347
West,Sandy,Soybean,940.5086294038097,21.92645379831218,False,True,Cloudy,80,6.356939522140019
West,Chalky,Wheat,785.4581326233083,33.83380794628356,False,True,Rainy,109,6.447866685077572
East,Sandy,Barley,904.5084595452252,39.2437796595496,True,True,Sunny,64,8.209796225267308
North,Loam,Rice,343.0011006270364,16.302348932467087,False,True,Sunny,95,2.5559804410751683
South,Silt,Cotton,146.78471449877478,32.939504161386665,True,False,Cloudy,146,2.6954189027099322
North,Peaty,Wheat,170.19313043735582,17.870306867393456,False,True,Cloudy,146,2.7276966351212657
North,Loam,Rice,667.7416141558951,25.86223197735501,True,False,Rainy,103,5.103637170793539
West,Silt,Barley,258.34651478060357,33.09557268506572,False,False,Sunny,123,2.6681276609566993
East,Loam,Maize,492.6380552984028,35.77617859058961,True,True,Sunny,105,5.767022595469762
North,Sandy,Rice,130.5032577056373,26.571145807796384,False,False,Rainy,109,1.544694343566377
South,Loam,Rice,798.5162746085591,31.740233255109306,True,False,Rainy,138,6.714573745067655
North,Clay,Soybean,783.9345941012594,27.50869610818272,False,True,Cloudy,130,5.39543877665446
South,Sandy,Cotton,609.9458087555112,17.76890369077531,False,False,Sunny,67,3.975883656026794
West,Peaty,Maize,356.8611001303277,24.012357222133513,True,True,Cloudy,86,4.678449651433357
East,Loam,Barley,466.0562759234755,29.55821561843998,True,False,Sunny,139,4.482054547651228
North,Silt,Rice,917.520294942913,28.39435879898633,False,True,Cloudy,63,6.532143944960887
East,Silt,Rice,503.8708158275209,23.427282555973818,False,False,Sunny,62,3.196079720673226
North,Peaty,Rice,549.6942453864369,18.249584732867795,True,True,Sunny,107,6.067369502552855
South,Silt,Soybean,525.5906600774938,31.761948186272072,False,True,Cloudy,105,4.410918708813558
East,Sandy,Soybean,404.17453886135183,32.22615811513977,False,True,Sunny,100,3.5952278177139534
North,Clay,Soybean,370.34590589969605,16.79835797649238,True,False,Cloudy,117,3.3020495150216886
West,Peaty,Maize,930.8668269225,38.060381849403015,True,True,Rainy,61,7.432946373587882
South,Sandy,Soybean,683.685077407087,15.547310635461736,False,False,Cloudy,143,4.114077836321847
East,Loam,Soybean,574.3334366022871,18.668391772884625,True,False,Sunny,140,3.683715728546206
North,Silt,Wheat,778.2895563105877,26.29805673993473,True,True,Cloudy,131,8.869623459965766
East,Loam,Cotton,259.39356374747763,27.61689163654413,True,False,Sunny,91,2.860960832655513
North,Sandy,Cotton,504.6403234652408,24.545149086191067,False,False,Rainy,86,3.514597289594972
South,Sandy,Rice,168.09220567476046,16.401474200130043,False,True,Sunny,110,2.07164821059703
West,Clay,Cotton,464.1566981036058,35.30788239679855,False,True,Cloudy,127,4.8319380828969996
South,Sandy,Maize,516.9707883324564,17.450038050513594,False,True,Sunny,120,4.487272241390366
East,Clay,Maize,373.3761151488907,28.108239093219144,True,True,Cloudy,62,5.122501622788869
